text,label
"Não suporto mais as desculpas vazias, chega!",2
"Essa atitude é inadmissível, estou furioso!",2
"Estou cansado de ser ignorado e subestimado constantemente.",2
"Não aguento mais lidar com pessoas tão irresponsáveis!",2
"Essa situação é revoltante, algo precisa ser feito agora mesmo.",2
"Você sempre age sem pensar, isso me deixa irritado.",2
"Estou tão irritado que mal consigo articular as palavras.",2
"Não posso acreditar que isso aconteceu de novo, estou enfurecido!",2
"Essa injustiça é insuportável, não posso aceitar.",2
"Estou farto de lidar com pessoas tão egoístas e insensíveis.",2
"Isso é inaceitável! Estou farto de lidar com isso.", 2
"Não aguento mais essa situação, preciso desabafar.", 2
"Você sempre faz isso e nunca aprende! Estou irritado.", 2
"Meu coração está pesado e a tristeza parece não ter fim.", 0
"Perdi alguém que amava profundamente, a dor é avassaladora.", 0
"Às vezes, a solidão é mais dolorosa do que qualquer coisa.", 0
"As expectativas não correspondidas me deixaram profundamente triste.", 0
"Sinto-me desanimado diante dos desafios que enfrento.", 0
"Às vezes, a tristeza surge sem razão aparente, e é difícil superar.", 0
"A sensação de perda é como um buraco no meu peito.", 0
"Essa notícia é devastadora, não sei como lidar com isso.", 0
"A melancolia tomou conta de mim, e parece não ter fim.", 0
"A saudade é uma ferida que persiste, mesmo com o tempo.", 0
"Sinto-me solitário, mesmo cercado por pessoas.", 0
"As coisas não estão indo como eu esperava, e isso me entristece.", 0
"Perdi algo muito importante, e a dor é avassaladora.", 0
"Recebi uma surpresa incrível e estou radiante!", 1
"Consegui alcançar um objetivo de longo prazo, estou nas nuvens.", 1
"Passar tempo com minha família me enche de alegria.", 1
"Encontrei a pessoa dos meus sonhos, e a felicidade é imensa.", 1
"A sensação de realização é maravilhosa, estou muito feliz.", 1
"Cada pequena conquista me faz sorrir de orelha a orelha.", 1
"Estou em êxtase com as boas notícias que recebi hoje.", 1
"A alegria de estar rodeado por amigos verdadeiros é incomparável.", 1
"Rir até as lágrimas escorrerem é a melhor terapia.", 1
"A beleza dos momentos simples da vida me enche de felicidade.", 1
"Estou radiante com as boas notícias que recebi hoje!", 1
"Passar tempo com as pessoas que amo me faz incrivelmente feliz.", 1
"Conquistei um objetivo importante e estou nas nuvens.", 1
"Estou completamente irritado com essa situação absurda!", 2
"Não suporto mais lidar com pessoas tão teimosas e irritantes.", 2
"Odeio quando as coisas não saem como planejado.", 2
"Estou furioso com a falta de respeito e consideração.", 2
"Essa atitude me deixa extremamente irritado e frustrado.", 2
"Me sinto triste por não conseguir alcançar meus objetivos.", 0
"Estou chateado com a perda de algo tão valioso para mim.", 0
"A sensação de estar deprimido é avassaladora.", 0
"Fico triste ao ver a injustiça acontecendo ao meu redor.", 0
"Essa notícia me deixou profundamente triste e abalado.", 0
"Estou tão feliz por ter alcançado esse marco tão esperado.", 1
"A alegria de estar ao lado de quem amo é indescritível.", 1
"Me sinto contente com as pequenas conquistas do dia a dia.", 1
"Receber boas notícias sempre me enche de alegria.", 1
"É incrível como as coisas simples da vida podem me fazer tão feliz.", 1
"Você me traiu! Eu nunca mais vou te perdoar!", 2
"Pare de me irritar! Eu já estou no meu limite!", 2
"Isso é um absurdo! Eu não vou tolerar isso!", 2
"Que droga! Tudo está dando errado hoje!", 2
"Eu vou explodir se não me acalmar agora!", 2
"Eu não aguento mais essa dor.", 0
"A vida é tão injusta.", 0
"Me sinto tão sozinho.", 0
"Nada me parece mais interessante.", 0
"Perdi a esperança.", 0
"Eu te amo muito!", 1
"Este é o melhor dia da minha vida!", 1
"Finalmente consegui o que queria!", 1
"Me sinto tão feliz e realizado!", 1
"A vida é maravilhosa!", 1
"Estou farto de lidar com essa incompetência constante!", 2
"Essa falta de consideração me irrita profundamente.", 2
"Odeio quando as promessas são quebradas sem remorso.", 2
"Estou extremamente irritado com a falta de cooperação.", 2
"A arrogância dessa pessoa me deixa furioso!", 2
"Perder alguém querido é uma dor que corta profundamente.", 0
"Às vezes, a tristeza se instala sem aviso prévio.", 0
"Estou chateado com a sensação de estar perdido.", 0
"A tristeza me envolve quando olho para o passado.", 0
"Sinto uma tristeza inexplicável no fundo do meu ser.", 0
"A conquista desse objetivo me enche de felicidade.", 1
"Estou radiante com as boas notícias que recebi hoje!", 1
"A alegria de passar tempo com amigos é incomparável.", 1
"Me sinto feliz por fazer o que amo todos os dias.", 1
"A felicidade está nas pequenas coisas da vida.", 1
"Não suporto a falta de comprometimento nesse projeto!", 2
"Essa atitude desrespeitosa é uma afronta, estou furioso!", 2
"Estou irritado com a falta de consideração pelos outros.", 2
"Odeio quando as pessoas agem sem pensar nas consequências.", 2
"A incompetência contínua está me deixando extremamente irritado.", 2
"Essa injustiça é revoltante, não posso aceitar.", 2
"Estou furioso com a falta de ética nesse comportamento.", 2
"Não aguento mais lidar com tanta negligência e descaso.", 2
"A hipocrisia dessa situação me irrita profundamente.", 2
"Odeio quando não levam a sério minhas preocupações!", 2
"Essa repetição de erros é inaceitável, estou enfurecido!", 2
"Estou farto de ser subestimado, a raiva está me consumindo.", 2
"A irresponsabilidade dessas ações me deixa furioso!", 2
"Não tolero a falta de respeito pelos limites estabelecidos.", 2
"A falta de transparência nesse assunto me deixa irritado.", 2
"Odeio lidar com pessoas tão egocêntricas e insensíveis.", 2
"Estou furioso com a incapacidade de aprender com os erros.", 2
"A teimosia dessa pessoa está me tirando do sério!", 2
"Não suporto a negligência em relação às minhas necessidades.", 2
"Essa situação é tão frustrante que estou à beira da raiva!", 2
"Estou irritado com a falta de compromisso com a verdade.", 2
"Odeio quando as coisas não acontecem conforme planejado.", 2
"A falta de profissionalismo está me deixando enfurecido!", 2
"Essa atitude insensível é inaceitável, estou furioso.", 2
"Estou cansado da falta de empatia dessa pessoa, é revoltante.", 2
"A arrogância desse comportamento me deixa extremamente irritado.", 2
"Odeio quando a irresponsabilidade prejudica a todos nós.", 2
"Estou furioso com a falta de compromisso com a qualidade.", 2
"Essa ineficiência constante está me deixando enfurecido!", 2
"Não tolero a falta de integridade nesse ambiente de trabalho.", 2
"Estou irritado com a insistência em ignorar minha opinião.", 2
"Odeio quando as pessoas agem impulsivamente sem pensar.", 2
"A falta de cooperação está me deixando extremamente irritado.", 2
"Estou furioso com a falta de consideração pelos outros.", 2
"Essa negligência contínua é inaceitável, estou enfurecido!", 2
"Odeio quando a incompetência afeta diretamente meu trabalho.", 2
"Estou irritado com a falta de responsabilidade dessa pessoa.", 2
"A falta de comprometimento com prazos me deixa furioso.", 2
"Não suporto mais a falta de ética nesse ambiente.", 2
"Essa atitude desrespeitosa é insuportável, estou furioso!", 2
"Estou irritado com a falta de empatia nesse cenário.", 2
"Odeio quando a insensibilidade prevalece nas interações.", 2
"A intolerância dessa pessoa me deixa extremamente irritado.", 2
"Estou furioso com a falta de compreensão da gravidade do problema.", 2
"Não tolero a falta de honestidade nesse relacionamento.", 2
"Essa indiferença total está me tirando do sério!", 2
"Estou irritado com a recorrência desses comportamentos inadequados.", 2
"Odeio quando a teimosia impede o progresso.", 2
"A falta de respeito pelas regras é inaceitável, estou enfurecido!", 2
"Estou furioso com a incapacidade de aprender com experiências passadas.", 2
"Conquistei um marco significativo e estou radiante!", 1
"Estou feliz por poder compartilhar essa notícia maravilhosa.", 1
"A alegria de alcançar meus objetivos é indescritível.", 1
"Fico contente quando vejo o sorriso nos rostos das pessoas.", 1
"A felicidade de estar cercado por pessoas queridas é incrível.", 1
"Me sinto radiante com as oportunidades que estão surgindo.", 1
"Estou tão feliz por ter superado esse desafio com sucesso.", 1
"A alegria de ver meus esforços reconhecidos é contagiante.", 1
"Encontrei alegria nas pequenas coisas do dia a dia.", 1
"Estou radiante por estar vivendo meu propósito de vida.", 1
"A felicidade de realizar algo que amo é inigualável.", 1
"Sinto-me alegre por poder compartilhar momentos especiais.", 1
"Estou feliz por fazer parte de uma equipe tão incrível.", 1
"A alegria de aprender algo novo é revigorante.", 1
"Conquistar esse objetivo era meu sonho, estou nas nuvens!", 1
"A felicidade de ver meus amigos alcançando sucesso é imensa.", 1
"Me sinto radiante ao receber carinho e apoio da minha família.", 1
"A alegria de estar em paz consigo mesmo é incomparável.", 1
"Estou feliz por contribuir para algo maior que eu mesmo.", 1
"A felicidade está nas conexões genuínas com outras pessoas.", 1
"Estou radiante por poder compartilhar momentos felizes com você.", 1
"A alegria de explorar novos lugares é uma experiência única.", 1
"Me sinto feliz por aprender com os desafios que enfrento.", 1
"A felicidade de ver um plano se concretizando é indescritível.", 1
"Estou radiante por poder expressar minha criatividade.", 1
"A alegria de ver a positividade se espalhar é contagiante.", 1
"Sinto-me feliz por cultivar relacionamentos significativos.", 1
"Estou radiante por superar obstáculos e crescer como pessoa.", 1
"A felicidade de encontrar um propósito é transformadora.", 1
"Fico contente por celebrar as vitórias, por menores que sejam.", 1
"Estou feliz por viver no momento presente, aproveitando cada instante.", 1
"A alegria de ajudar os outros é uma recompensa inigualável.", 1
"Sinto-me radiante por encontrar beleza na simplicidade da vida.", 1
"A felicidade de ser grato por tudo que tenho é imensurável.", 1
"Estou feliz por seguir meu coração e perseguir meus sonhos.", 1
"A alegria de compartilhar risadas genuínas é inestimável.", 1
"Sinto-me radiante por aprender e crescer a cada dia.", 1
"A felicidade de ter amigos leais é um tesouro inestimável.", 1
"Estou feliz por aprender a encontrar paz no caos.", 1
"Fico contente por cultivar uma mentalidade positiva.", 1
"Estou radiante por descobrir novas paixões e interesses.", 1
"A alegria de estar rodeado por natureza é revitalizante.", 1
"Sinto-me feliz por criar memórias duradouras com entes queridos.", 1
"Estou radiante por experimentar o amor e a compaixão.", 1
"A felicidade de ver a transformação pessoal é inspiradora.", 1
"Fico contente por expressar gratidão em minha jornada.", 1
"Estou feliz por encontrar equilíbrio em minha vida.", 1
"A alegria de praticar a autenticidade é libertadora.", 1
"Sinto-me radiante por explorar novas possibilidades.", 1
"A felicidade de aceitar a jornada é verdadeiramente enriquecedora.", 1
"Sinto-me triste por não atingir as expectativas que tinha.", 0
"A dor da perda é difícil de suportar, estou deprimido.", 0
"Às vezes, a tristeza parece sufocante e sem fim.", 0
"A sensação de desânimo é avassaladora neste momento.", 0
"Estou triste com a distância que cresceu entre nós.", 0
"A tristeza toma conta de mim quando penso no passado.", 0
"Sinto-me chateado por não conseguir lidar com as adversidades.", 0
"A sensação de estar perdido é esmagadora e triste.", 0
"Perder algo que valorizava tanto é profundamente triste.", 0
"Estou deprimido com a falta de sentido em algumas situações.", 0
"A tristeza me envolve quando vejo a injustiça prevalecer.", 0
"A dor emocional desta situação é difícil de suportar.", 0
"Estou triste por não ser compreendido pelos outros.", 0
"A sensação de desapontamento é triste e esmagadora.", 0
"Sinto-me chateado por não ter controle sobre certas coisas.", 0
"A tristeza invade meu coração diante de tantas adversidades.", 0
"Estou triste por ver as relações se desfazendo ao meu redor.", 0
"A sensação de solidão é triste e desconcertante.", 0
"Perder uma oportunidade tão significativa é dolorosamente triste.", 0
"Estou deprimido com a falta de apoio que recebo.", 0
"A tristeza se intensifica diante das notícias desanimadoras.", 0
"Sinto-me chateado por não alcançar meus próprios padrões.", 0
"A sensação de vazio é triste e desoladora.", 0
"Estou triste por não conseguir expressar plenamente minhas emoções.", 0
"A tristeza toma conta de mim quando vejo sofrimento ao meu redor.", 0
"A dor de uma despedida é profundamente triste.", 0
"Sinto-me chateado por não ser capaz de mudar certas situações.", 0
"A sensação de inadequação é triste e angustiante.", 0
"Estou triste por não encontrar significado em algumas experiências.", 0
"A tristeza aumenta diante da sensação de abandono.", 0
"Sinto-me chateado por não ser compreendido pelas pessoas ao meu redor.", 0
"A sensação de desesperança é triste e esmagadora.", 0
"Estou triste por não conseguir superar certas mágoas.", 0
"A tristeza me envolve quando percebo a quebra de confiança.", 0
"Sinto-me chateado por não alcançar minhas próprias expectativas.", 0
"A sensação de rejeição é triste e difícil de suportar.", 0
"Estou triste por ver sonhos desmoronando diante dos meus olhos.", 0
"A tristeza intensifica-se com a sensação de solidão.", 0
"Sinto-me chateado por não poder evitar algumas situações.", 0
"A sensação de desamparo é triste e avassaladora.", 0
"Estou triste por ver a desigualdade persistir.", 0
"A tristeza se aprofunda diante da falta de compreensão.", 0
"Sinto-me chateado por não conseguir superar certos arrependimentos.", 0
"A sensação de desilusão é triste e esmagadora.", 0
"Estou triste por encontrar significado em algumas experiências.", 0
"A tristeza aumenta diante da perda de oportunidades.", 0
"Sinto-me chateado por não encontrar sentido em algumas experiências.", 0
"A sensação de desesperança é triste e esmagadora.", 0
"Estou triste por não conseguir superar certas mágoas.", 0
"A tristeza me envolve quando percebo a quebra de confiança.", 0